Name,Price,Baseprice,Discount,Image,Alt Images,Selected Variant,Seller name,Seller Price
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,webonline,"Rs. 1,195.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,Tulza Mobile And Trading,"Rs. 1,106.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,Mars & Pluto,"Rs. 1,196.00"
"Nokia 105 2019 (Single SIM, Pink)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41ctk-5ztfl._sx425_.jpg']",Pink,CloudNine India,"Rs. 1,312.00"
"Nokia 105 2019 (Single SIM, Blue)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx385_.jpg']",Blue,Appario Retail Private Ltd,"Rs. 1,049.00"
"Nokia 105 2019 (Single SIM, Blue)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx385_.jpg']",Blue,joya communication,"Rs. 1,029.00"
"Nokia 105 2019 (Single SIM, Blue)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx385_.jpg']",Blue,DJSALES,"Rs. 1,079.00"
"Nokia 105 2019 (Single SIM, Blue)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx385_.jpg']",Blue,OMNIKART,"Rs. 1,098.00"
"Nokia 105 2019 (Single SIM, Blue)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx385_.jpg']",Blue,WEB-TAIL,"Rs. 1,099.00"
"Nokia 105 2019 (Single SIM, Blue)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx385_.jpg']",Blue,ALPHABAT,"Rs. 1,115.00"
"Nokia 105 2019 (Single SIM, Blue)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx385_.jpg']",Blue,D-Cart,"Rs. 1,121.00"
"Nokia 105 2019 (Single SIM, Blue)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx385_.jpg']",Blue,webonline,"Rs. 1,160.00"
"Nokia 105 2019 (Single SIM, Blue)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx466_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l.jpg', 'https://images-na.ssl-images-amazon.com/images/i/41eua6oiq4l._sx385_.jpg']",Blue,Per Day Deal,"Rs. 1,185.00"
