Name,Price,Baseprice,Discount,Image,Alt Images,Selected Variant,Seller name,Seller Price
"Nokia 105 2019 (Single SIM, Black)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx466_.jpg']",Black,D-Cart,"Rs. 1,126.00"
"Nokia 105 2019 (Single SIM, Black)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx466_.jpg']",Black,ALPHABAT,"Rs. 1,127.00"
"Nokia 105 2019 (Single SIM, Black)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx466_.jpg']",Black,Chawla Mobiles,"Rs. 1,049.00"
"Nokia 105 2019 (Single SIM, Black)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx466_.jpg']",Black,Venturez,"Rs. 1,148.00"
"Nokia 105 2019 (Single SIM, Black)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx466_.jpg']",Black,R M Digitals,"Rs. 1,150.00"
"Nokia 105 2019 (Single SIM, Black)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx466_.jpg']",Black,Per Day Deal,"Rs. 1,185.00"
"Nokia 105 2019 (Single SIM, Black)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx466_.jpg']",Black,R S Trade,"Rs. 1,195.00"
"Nokia 105 2019 (Single SIM, Black)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx466_.jpg']",Black,sangam infotech,"Rs. 1,199.00"
"Nokia 105 2019 (Single SIM, Black)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx466_.jpg']",Black,SRI INFOTECH,"Rs. 1,199.00"
"Nokia 105 2019 (Single SIM, Black)","₹ 1,049.00","₹ 1,249.00",₹ 200.00 (16%),https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg,"['https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx385_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx342_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx425_.jpg', 'https://images-na.ssl-images-amazon.com/images/i/31z2ee9oyql._sx466_.jpg']",Black,Diwoox India,"Rs. 1,199.00"
